"","Tipo.Titulo","Data.Vencimento","Data.Base","Taxa.Compra.Manha","Taxa.Venda.Manha","PU.Compra.Manha","PU.Venda.Manha","PU.Base.Manha"
"73","Tesouro Prefixado","01/01/2016","28/02/2014",11.75,11.8,816.08,815.42,815.06
"75","Tesouro Prefixado","01/01/2016","31/03/2014",12.13,12.18,818.06,817.42,817.05
"77","Tesouro Prefixado","01/01/2016","30/04/2014",12.02,12.07,826.89,826.27,825.9
"79","Tesouro Prefixado","01/01/2016","30/05/2014",11.55,11.6,840.35,839.75,839.39
"81","Tesouro Prefixado","01/01/2016","30/06/2014",11.26,11.31,851.01,850.44,850.08
"83","Tesouro Prefixado","01/01/2016","31/07/2014",11.23,11.27,859.67,859.23,858.87
"85","Tesouro Prefixado","01/01/2016","29/08/2014",11.34,11.38,866.19,865.77,865.4
"87","Tesouro Prefixado","01/01/2016","30/09/2014",12.11,12.15,866.85,866.46,866.07
"89","Tesouro Prefixado","01/01/2016","31/10/2014",12.23,12.27,874.85,874.49,874.09
"91","Tesouro Prefixado","01/01/2016","28/11/2014",12.39,12.43,881.54,881.21,880.8
"93","Tesouro Prefixado","01/01/2016","31/12/2014",13.02,13.06,886.08,885.77,884.91
"95","Tesouro Prefixado","01/01/2017","30/01/2015",12.39,12.44,800.52,799.84,799.47
"97","Tesouro Prefixado","01/01/2017","27/02/2015",12.99,13.04,799.39,798.74,798.35
"99","Tesouro Prefixado","01/01/2017","31/03/2015",13.5,13.55,801.63,801.01,800.61
"100","Tesouro Prefixado","01/01/2017","30/04/2015",13.27,13.32,812.47,811.87,811.47
"101","Tesouro Prefixado","01/01/2017","29/05/2015",13.29,13.34,820.31,819.74,819.33
"103","Tesouro Prefixado","01/01/2017","30/06/2015",14.03,14.08,820.81,820.27,819.84
"105","Tesouro Prefixado","01/01/2017","31/07/2015",13.53,13.57,835.88,835.46,835.04
"106","Tesouro Prefixado","01/01/2017","31/08/2015",14.24,14.28,837.79,837.4,836.96
"107","Tesouro Prefixado","01/01/2017","30/09/2015",15.56,15.6,835.1,834.74,834.26
"109","Tesouro Prefixado","01/01/2017","30/10/2015",15.32,15.36,847.27,846.93,846.45
"110","Tesouro Prefixado","01/01/2017","30/11/2015",15.71,15.75,853.78,853.46,852.96
"112","Tesouro Prefixado","01/01/2017","31/12/2015",15.77,15.81,864.78,864.48,863.48
"113","Tesouro Prefixado","01/01/2018","29/01/2016",14.94,14.99,767.03,766.4,765.97
"114","Tesouro Prefixado","01/01/2018","29/02/2016",14.61,14.66,779.22,778.59,778.17
"115","Tesouro Prefixado","01/01/2018","31/03/2016",13.49,13.54,802.15,801.54,801.13
"116","Tesouro Prefixado","01/01/2018","29/04/2016",12.77,12.82,818.87,818.27,817.88
"117","Tesouro Prefixado","01/01/2018","31/05/2016",12.85,12.9,826.19,825.61,825.21
"118","Tesouro Prefixado","01/01/2018","30/06/2016",12.83,12.88,835.17,834.62,834.22
"119","Tesouro Prefixado","01/01/2018","29/07/2016",12.91,12.95,842.78,842.35,841.95
"120","Tesouro Prefixado","01/01/2018","31/08/2016",12.78,12.82,853.46,853.06,852.65
"121","Tesouro Prefixado","01/01/2018","30/09/2016",12.21,12.25,867.47,867.08,866.69
"122","Tesouro Prefixado","01/01/2018","31/10/2016",12.23,12.27,875.25,874.89,874.49
"123","Tesouro Prefixado","01/01/2018","30/11/2016",12.05,12.09,884.83,884.49,884.09
"124","Tesouro Prefixado","01/01/2018","30/12/2016",11.47,11.59,898.64,897.69,896.91
"125","Tesouro Prefixado","01/01/2019","31/01/2017",10.4,10.52,829.21,827.5,827.18
"126","Tesouro Prefixado","01/01/2019","24/02/2017",9.8,9.92,843.42,841.74,841.43
"127","Tesouro Prefixado","01/01/2019","31/03/2017",9.5,9.62,854.68,853.06,852.75
"129","Tesouro Prefixado","01/01/2019","28/04/2017",9.38,9.5,861.81,860.24,859.93
"130","Tesouro Prefixado","01/01/2019","31/05/2017",9.32,9.44,869.33,867.83,867.52
"131","Tesouro Prefixado","01/01/2019","30/06/2017",8.94,9.06,880.36,878.92,878.61
"132","Tesouro Prefixado","01/01/2019","31/07/2017",8.05,8.17,896.94,895.54,895.26
"133","Tesouro Prefixado","01/01/2019","31/08/2017",7.73,7.85,906.83,905.5,905.23
"135","Tesouro Prefixado","01/01/2019","29/09/2017",7.25,7.37,917.24,915.98,915.72
"136","Tesouro Prefixado","01/01/2019","31/10/2017",7.24,7.36,922.71,921.52,921.26
"137","Tesouro Prefixado","01/01/2019","30/11/2017",7.04,7.16,929.7,928.58,928.33
"138","Tesouro Prefixado","01/01/2019","29/12/2017",6.79,6.91,936.9,935.86,935.61
"140","Tesouro Prefixado","01/01/2020","31/01/2018",7.91,8.03,864.75,862.92,862.66
"141","Tesouro Prefixado","01/01/2020","28/02/2018",7.55,7.67,874.82,873.03,872.78
"142","Tesouro Prefixado","01/01/2020","29/03/2018",7.04,7.16,887.51,885.77,885.53
"143","Tesouro Prefixado","01/01/2020","30/04/2018",6.85,6.97,895.21,893.53,893.3
"144","Tesouro Prefixado","01/01/2020","30/05/2018",7.61,7.73,890.1,888.52,888.26
"145","Tesouro Prefixado","01/01/2020","29/06/2018",8.18,8.3,888.47,886.99,886.71
"146","Tesouro Prefixado","01/01/2020","31/07/2018",7.79,7.91,899.18,897.76,897.49
"147","Tesouro Prefixado","01/01/2020","31/08/2018",8.72,8.84,895.1,893.8,893.5
"148","Tesouro Prefixado","01/01/2020","28/09/2018",8.21,8.33,906.07,904.82,904.53
"149","Tesouro Prefixado","01/01/2020","31/10/2018",7.08,7.2,923.54,922.34,922.08
"150","Tesouro Prefixado","01/01/2020","30/11/2018",6.96,7.08,929.7,928.57,928.32
"151","Tesouro Prefixado","01/01/2020","28/12/2018",6.54,6.66,938.37,937.31,936.83
"152","Tesouro Prefixado","01/01/2021","31/01/2019",7,7.12,878.61,876.73,876.49
"154","Tesouro Prefixado","01/01/2021","28/02/2019",7.08,7.2,882.13,880.32,880.08
"155","Tesouro Prefixado","01/01/2021","29/03/2019",7.03,7.15,887.42,885.67,885.43
"156","Tesouro Prefixado","01/01/2021","30/04/2019",7.09,7.21,891.62,889.95,889.7
"157","Tesouro Prefixado","01/01/2021","31/05/2019",6.51,6.63,904.73,903.12,902.89
"158","Tesouro Prefixado","01/01/2021","28/06/2019",5.85,5.97,917.63,916.06,915.85
"159","Tesouro Prefixado","01/01/2021","31/07/2019",5.39,5.51,928.13,926.63,926.43
"160","Tesouro Prefixado","01/01/2021","30/08/2019",5.55,5.67,930.51,929.1,928.9
"161","Tesouro Prefixado","01/01/2021","30/09/2019",4.94,5.06,941.5,940.16,939.97
"162","Tesouro Prefixado","01/01/2021","31/10/2019",4.42,4.54,951.11,949.85,949.68
"163","Tesouro Prefixado","01/01/2021","29/11/2019",4.64,4.76,952.22,951.04,950.87
"164","Tesouro Prefixado","01/01/2021","30/12/2019",4.54,4.66,956.74,955.64,955.3
"165","Tesouro Prefixado","01/01/2022","31/01/2020",4.94,5.06,912.24,910.26,910.08
"166","Tesouro Prefixado","01/01/2022","28/02/2020",4.68,4.8,919.56,917.63,917.46
"167","Tesouro Prefixado","01/01/2022","31/03/2020",4.24,4.36,930.06,928.19,928.03
"168","Tesouro Prefixado","01/01/2022","30/04/2020",3.72,3.84,940.94,939.12,938.98
"169","Tesouro Prefixado","01/01/2022","29/05/2020",3.18,3.3,951.52,949.77,949.64
"170","Tesouro Prefixado","01/01/2022","30/06/2020",2.97,3.09,956.93,955.26,955.14
"171","Tesouro Prefixado","01/01/2022","31/07/2020",2.67,2.79,963.46,961.87,961.76
"172","Tesouro Prefixado","01/01/2022","31/08/2020",2.91,3.03,962.58,961.09,960.98
"173","Tesouro Prefixado","01/01/2022","30/09/2020",3.17,3.29,961.86,960.46,960.34
"174","Tesouro Prefixado","01/01/2022","30/10/2020",3.47,3.59,961.11,959.82,959.68
"176","Tesouro Prefixado","01/01/2022","30/11/2020",3.26,3.38,965.84,964.62,964.5
"177","Tesouro Prefixado","01/01/2022","30/12/2020",2.81,2.93,972.77,971.64,971.42
"178","Tesouro Prefixado","01/01/2023","29/01/2021",5.09,5.21,909.4,907.42,907.24
"180","Tesouro Prefixado","01/01/2023","26/02/2021",5.66,5.78,903.59,901.7,901.5
"181","Tesouro Prefixado","01/01/2023","31/03/2021",6.59,6.71,894.32,892.56,892.33
"182","Tesouro Prefixado","01/01/2023","30/04/2021",6.37,6.49,901.97,900.27,900.05
"183","Tesouro Prefixado","01/01/2023","31/05/2021",6.82,6.94,900.57,898.97,898.73
"184","Tesouro Prefixado","01/01/2023","30/06/2021",7.12,7.24,901.72,900.21,899.96
"185","Tesouro Prefixado","01/01/2023","30/07/2021",7.75,7.87,899.65,898.23,897.96
"186","Tesouro Prefixado","01/01/2023","31/08/2021",8.5,8.62,897.22,895.9,895.61
"187","Tesouro Prefixado","01/01/2023","30/09/2021",9.14,9.26,896.74,895.2,895.2
"188","Tesouro Prefixado","01/01/2023","29/10/2021",12.49,12.61,871.7,870.2,870.2
"189","Tesouro Prefixado","01/01/2023","30/11/2021",11.85,11.97,885.35,883.92,883.92
"190","Tesouro Prefixado","01/01/2023","30/12/2021",11.83,11.95,894.61,892.85,892.85
