"","Tipo.Titulo","Data.Vencimento","Data.Base","Taxa.Compra.Manha","Taxa.Venda.Manha","PU.Compra.Manha","PU.Venda.Manha","PU.Base.Manha"
"1","Tesouro Prefixado","01/01/2012","29/01/2010",11.81,11.86,807.73,807.04,806.68
"3","Tesouro Prefixado","01/01/2012","26/02/2010",11.63,11.68,816.62,815.95,815.59
"5","Tesouro Prefixado","01/01/2012","31/03/2010",11.69,11.74,824.09,823.44,823.08
"7","Tesouro Prefixado","01/01/2012","30/04/2010",12.21,12.26,824.92,824.31,823.93
"9","Tesouro Prefixado","01/01/2012","31/05/2010",12.14,12.19,833.7,833.12,832.74
"11","Tesouro Prefixado","01/01/2012","30/06/2010",12.09,12.14,842.27,841.7,841.32
"13","Tesouro Prefixado","01/01/2012","30/07/2010",11.58,11.62,856.22,855.78,855.41
"15","Tesouro Prefixado","01/01/2012","31/08/2010",11.48,11.52,865.48,865.06,864.69
"17","Tesouro Prefixado","01/01/2012","30/09/2010",11.56,11.6,872.57,872.18,871.8
"18","Tesouro Prefixado","01/01/2012","29/10/2010",11.47,11.51,881.01,880.64,880.26
"20","Tesouro Prefixado","01/01/2012","30/11/2010",12.13,12.17,882.95,882.61,882.2
"22","Tesouro Prefixado","01/01/2012","31/12/2010",12.1,12.14,892.46,892.14,891.74
"24","Tesouro Prefixado","01/01/2013","31/01/2011",12.93,12.98,792.86,792.19,791.81
"25","Tesouro Prefixado","01/01/2013","28/02/2011",12.88,12.93,801.2,800.55,800.17
"26","Tesouro Prefixado","01/01/2013","31/03/2011",12.79,12.84,810.46,809.83,809.44
"27","Tesouro Prefixado","01/01/2013","29/04/2011",12.75,12.8,818.33,817.73,817.34
"28","Tesouro Prefixado","01/01/2013","31/05/2011",12.61,12.66,828.58,828,827.61
"29","Tesouro Prefixado","01/01/2013","30/06/2011",12.67,12.72,836.15,835.6,835.2
"30","Tesouro Prefixado","01/01/2013","29/07/2011",12.76,12.8,843.55,843.13,842.72
"31","Tesouro Prefixado","01/01/2013","31/08/2011",11.23,11.27,868.43,868.02,867.65
"32","Tesouro Prefixado","01/01/2013","30/09/2011",10.56,10.6,882.77,882.37,882.02
"33","Tesouro Prefixado","01/01/2013","31/10/2011",10.42,10.46,891.14,890.76,890.41
"34","Tesouro Prefixado","01/01/2013","30/11/2011",9.74,9.78,904.21,903.85,903.52
"35","Tesouro Prefixado","01/01/2013","30/12/2011",10.1,10.14,908.61,908.28,907.93
"36","Tesouro Prefixado","01/01/2014","31/01/2012",10.07,10.12,832.33,831.61,831.29
"38","Tesouro Prefixado","01/01/2014","29/02/2012",9.83,9.88,841.75,841.04,840.73
"39","Tesouro Prefixado","01/01/2014","30/03/2012",9.62,9.67,851.51,850.83,850.52
"40","Tesouro Prefixado","01/01/2014","30/04/2012",8.81,8.86,868.43,867.77,867.48
"41","Tesouro Prefixado","01/01/2014","31/05/2012",8.45,8.5,879.46,878.82,878.54
"42","Tesouro Prefixado","01/01/2014","29/06/2012",7.95,8,891.32,890.7,890.42
"43","Tesouro Prefixado","01/01/2014","31/07/2012",7.91,7.95,897.76,897.29,897.02
"44","Tesouro Prefixado","01/01/2014","31/08/2012",7.89,7.93,904.24,903.8,903.52
"45","Tesouro Prefixado","01/01/2014","28/09/2012",7.79,7.83,910.49,910.07,909.79
"46","Tesouro Prefixado","01/01/2014","31/10/2012",7.38,7.42,920.54,920.14,919.88
"47","Tesouro Prefixado","01/01/2014","30/11/2012",7.33,7.37,926.22,925.85,925.59
"48","Tesouro Prefixado","01/01/2014","28/12/2012",7.14,7.18,933.1,932.75,932.24
"49","Tesouro Prefixado","01/01/2015","31/01/2013",7.97,8.02,863.05,862.28,862.02
"51","Tesouro Prefixado","01/01/2015","28/02/2013",8.48,8.53,860.26,859.53,859.25
"53","Tesouro Prefixado","01/01/2015","28/03/2013",8.52,8.57,865.27,864.56,864.28
"54","Tesouro Prefixado","01/01/2015","30/04/2013",8.36,8.41,873.63,872.96,872.68
"56","Tesouro Prefixado","01/01/2015","31/05/2013",8.66,8.71,875.62,874.97,874.68
"58","Tesouro Prefixado","01/01/2015","28/06/2013",9.88,9.93,866.58,865.98,865.65
"60","Tesouro Prefixado","01/01/2015","31/07/2013",9.7,9.74,876.11,875.66,875.33
"62","Tesouro Prefixado","01/01/2015","30/08/2013",10.55,10.59,874.12,873.7,873.35
"63","Tesouro Prefixado","01/01/2015","30/09/2013",10.26,10.3,884.38,883.98,883.63
"65","Tesouro Prefixado","01/01/2015","31/10/2013",10.61,10.65,889,888.63,888.27
"67","Tesouro Prefixado","01/01/2015","29/11/2013",10.75,10.79,894.92,894.57,894.2
"69","Tesouro Prefixado","01/01/2015","31/12/2013",10.66,10.7,903.3,902.97,902.61
"71","Tesouro Prefixado","01/01/2016","31/01/2014",12.64,12.69,796.76,796.09,795.71
